Unnamed: 0,Title,id,rating,genres,Release year
1481,Rocky Balboa,1246,PG,Drama,2006
1482,Silent Hill,588,R,Horror;Mystery,2006
1483,Atomic Blonde,341013,R,Action;Thriller,2017
1484,Howards End,8293,PG,Drama;Romance,1992
1485,The Voyeurs,645710,R,Thriller,2021
1486,12 Years a Slave,76203,R,Drama;History,2013
1487,The Breakfast Club,2108,R,Comedy;Drama,1985
1488,Bridget Jones's Diary,634,R,Comedy;Romance;Drama,2001
1489,The Hunger Games,70160,PG-13,Science Fiction;Adventure;Fantasy,2012
1490,Seventh Son,68737,PG-13,Adventure;Fantasy,2014
1491,The Mother,552688,R,Action;Thriller,2023
1493,Disenchanted,338958,PG,Comedy;Family;Fantasy,2022
1494,Pet Sematary: Bloodlines,830764,R,Horror;Fantasy,2023
1495,Knowing,13811,PG-13,Action;Mystery;Science Fiction;Thriller,2009
1496,I Spit on Your Grave III: Vengeance Is Mine,357096,R,Horror;Thriller,2015
1497,G.I. Joe: The Rise of Cobra,14869,PG-13,Adventure;Action;Thriller;Science Fiction,2009
1498,Rough Night,397422,R,Drama;Comedy,2017
1499,Craig Before the Creek,928833,PG,Animation;Family;TV Movie;Adventure;Comedy;Fantasy,2023
1501,Tag,455980,R,Comedy;Action,2018
1502,Jason X,11470,R,Horror;Science Fiction,2001
1503,Tag,455980,R,Comedy;Action,2018
1504,Jason X,11470,R,Horror;Science Fiction,2001
1505,Beautiful Wedding,1096342,R,Romance;Comedy;Drama,2024
1506,Men in Black 3,41154,PG-13,Action;Comedy;Science Fiction,2012
1507,The Angry Birds Movie,153518,PG,Animation;Adventure;Comedy;Family,2016
1508,A Man Called Otto,937278,PG-13,Comedy;Drama,2022
1510,Liar Liar,1624,PG-13,Comedy,1997
1511,Inferno,207932,PG-13,Mystery;Thriller;Action,2016
1512,RED,39514,PG-13,Action;Adventure;Comedy;Crime;Thriller,2010
1513,Vacation,296099,R,Comedy,2015
1514,Boyhood,85350,R,Drama,2014
1515,Hot Chili,88907,R,Comedy,1985
1516,Scream 3,4234,R,Horror;Mystery,2000
1517,The Ultimate Gift,14624,PG,Romance;Drama;Family,2007
1518,The Misfits,581644,R,Action;Thriller,2021
1519,Last Night in Soho,576845,R,Mystery;Thriller;Horror,2021
1520,The Naked Gun: From the Files of Police Squad!,37136,PG-13,Comedy;Crime,1988
1521,Totally Killer,974931,R,Comedy;Horror;Science Fiction,2023
1522,The Pelican Brief,9944,PG-13,Thriller,1993
1523,Squealer,1189798,R,Action;Horror;Thriller,2023
1524,Onward,508439,PG,Family;Animation;Adventure;Comedy;Fantasy,2020
1525,Blow,4133,R,Crime;Drama,2001
1526,Overboard,454619,PG-13,Romance;Comedy,2018
1527,The Velveteen Rabbit,1186957,G,Animation;Family;Fantasy,2023
1528,The Running Man,865,R,Action;Science Fiction;Thriller;Crime,1987
1529,Accident Man: Hitman's Holiday,879444,R,Action;Comedy;Crime,2022
1530,Alvin and the Chipmunks: Chipwrecked,55301,G,Comedy;Fantasy;Family;Music;Animation,2011
1531,Captain Underpants: The First Epic Movie,268531,PG,Action;Animation;Comedy;Family,2017
1532,Groundhog Day,137,PG,Romance;Fantasy;Drama;Comedy,1993
1533,Rush,96721,R,Drama;Action,2013
1534,Game Night,445571,R,Mystery;Comedy;Crime,2018
1535,Freddy's Dead: The Final Nightmare,11284,R,Horror;Thriller,1991
1536,Puss in Boots: The Three Diablos,83201,G,Adventure;Animation;Comedy;Family,2012
1537,The Huntsman: Winter's War,290595,PG-13,Action;Adventure;Drama,2016
1538,The Pod Generation,889675,PG-13,Science Fiction;Comedy;Romance;Drama,2023
1539,28 Days Later,170,R,Horror;Thriller;Science Fiction,2002
1540,Saw V,11917,R,Horror;Thriller;Crime,2008
1541,The Killer,800158,R,Crime;Thriller,2023
1542,Lethal Weapon,941,R,Adventure;Action;Comedy;Thriller;Crime,1987
1543,The Craft,9100,R,Horror;Drama;Fantasy,1996
1544,Chronicle,76726,PG-13,Science Fiction;Drama;Thriller,2012
1546,Hocus Pocus,10439,PG,Fantasy;Comedy;Family,1993
1548,Memento,77,R,Mystery;Thriller,2000
1549,The Nice Guys,290250,R,Comedy;Crime;Action,2016
1550,Blackhat,201088,R,Crime;Thriller;Action,2015
1551,The Grudge,465086,R,Horror;Mystery,2019
1552,Stillwater,616651,R,Drama;Crime;Thriller,2021
1553,The Flood,1006462,R,Action;Mystery;Thriller;Horror,2023
1554,The Flintstones,888,PG,Fantasy;Comedy;Family,1994
1555,Gone in Sixty Seconds,9679,PG-13,Action;Crime;Thriller,2000
1556,The Belko Experiment,341006,R,Horror;Thriller,2016
1557,Hollow Man,9383,R,Action;Science Fiction;Thriller,2000
1558,Sully,363676,PG-13,Drama;History,2016
1559,Hellboy,1487,PG-13,Fantasy;Action,2004
